Sp,lon,lat,Source,NEAR_FID,NEAR_DIST,NEAR_X,NEAR_Y,RASTERVALU
Lsol,-147.579,70.322,OBIS,843754,3664.09817945,-147.541666667,70.2916666667,1
Lsol,-147.873,70.37,OBIS,841365,562.853845575,-147.875,70.375,1
Lsol,-145.25755,70.0245,OBIS,850639,2315.1076429,-145.291666667,70.0416666667,1
Lsol,-94.22000122,58.81200027,OBIS,1043272,2363.28201859,-94.2083333333,58.7916666667,1
Lsol,-54.8,47.65,GBIF,1298038,2849.25045972,-54.7916666667,47.625,1
Lsol,-64.34,60.23,GBIF,1010809,3096.9862639,-64.375,60.2083333333,1
Lsol,-147.39,70.19,GBIF,846101,2122.57322467,-147.375,70.2083333333,1
Lsol,-93.89,58.77,GBIF,1043276,2564.68554117,-93.875,58.7916666667,1
Lsol,-63.52,59.3,GBIF,1031455,1544.68194602,-63.5416666667,59.2916666667,1
Lsol,-54.121453,47.03553,GBIF,1311403,733.552737656,-54.125,47.0416666667,1
Lsol,-158.357387,71.187673,GBIF,815858,2390.76237607,-158.375,71.2083333333,1
Lsol,-62.624988,58.200839,GBIF,1057911,834.728506643,-62.625,58.2083333333,1
Lsol,-157.63,70.91,GBIF,826388,3909.33203027,-157.625,70.875,1
Lsol,-123.784,69.7008,GBIF,859506,891.309952178,-123.791666667,69.7083333333,1
Lsol,-125.4231,70.0825,GBIF,850859,4748.8797918,-125.458333333,70.0416666667,1
Lsol,-64.5,62.45,GBIF,970867,2342.66828931,-64.4583333333,62.4583333333,1
Lsol,-67.916667,62.133333,GBIF,976172,2364.04780184,-67.9583333333,62.125,1
Lsol,-81.666667,69.383333,GBIF,867545,1883.6762801,-81.7083333333,69.375,1
Lsol,-85.0,76.0,GBIF,636769,4785.06202303,-84.9583333333,76.0416666667,1
Lsol,-156.5,71.333333,GBIF,810548,4881.29170291,-156.541666667,71.375,1
Lsol,-163.45,69.58,Museum,863347,4288.65471367,-163.458333333,69.5416666667,1
Lsol,-119.07,76.08,Museum,636580,4346.44265756,-119.041666667,76.0416666667,1
Lsol,-72.0,61.65,Museum,984311,3555.57527359,-71.9583333333,61.625,1
Lsol,-69.83,62.82,Museum,965563,3714.3375797,-69.7916666667,62.7916666667,1
Lsol,-77.91,62.43,Museum,970748,3638.37798109,-77.875,62.4583333333,1
Lsol,-68.49,63.7,Museum,951401,1820.67736998,-68.4583333333,63.7083333333,1
Lsol,-105.43,68.6,Museum,882275,3017.77575682,-105.458333333,68.625,1
Lsol,-104.36,68.93,Museum,875948,3217.29877516,-104.375,68.9583333333,1
Lsol,-95.88,68.62,Museum,882375,593.67947955,-95.875,68.625,1
Lsol,-86.23,66.51,Museum,913421,3660.38631482,-86.2083333333,66.5416666667,1
Lsol,-94.46,71.98,Museum,791704,2418.38029205,-94.4583333333,71.9583333333,1
Lsol,-94.03,61.12,Museum,992885,840.14223385,-94.0416666667,61.125,1
Lsol,-92.28,62.77,Museum,965312,2487.2925233,-92.2916666667,62.7916666667,1
Lsol,-115.04,68.88,Museum,877519,561.753939102,-115.041666667,68.875,1
Lsol,-124.51,70.18,Museum,846375,3380.39081457,-124.541666667,70.2083333333,1
Lsol,-54.16,47.58,Museum,1299945,5010.21017511,-54.125,47.5416666667,1
Lsol,-105.85,69.17,Museum,870857,4389.62324992,-105.875,69.2083333333,1
Lsol,-91.55,70.15,Museum,848807,2806.95195857,-91.5416666667,70.125,1
Lsol,-106.43,69.17,Museum,870853,4421.36954749,-106.458333333,69.2083333333,1
Lsol,-97.39,68.54,Museum,883918,640.237149576,-97.375,68.5416666667,1
Lsol,-92.75,69.71,Museum,859672,1623.93635498,-92.7083333333,69.7083333333,1
Lsol,-93.8,72.73,Museum,765803,2433.62743724,-93.7916666667,72.7083333333,1
Lsol,-93.93,74.65,Museum,689451,2913.54436493,-93.9583333333,74.625,1
Lsol,-99.4,75.0,Museum,676005,4706.70158159,-99.375,74.9583333333,1
Lsol,-74.77,79.39,Museum,507344,1733.16156298,-74.7916666667,79.375,1
Lsol,-96.92,76.9,Museum,605334,2955.04350222,-96.9583333333,76.875,1
Lsol,-104.79,68.32,Museum,888343,3161.04465962,-104.791666667,68.2916666667,1
Lsol,-77.937138,72.703117,PICKeR,765899,913.160624908,-77.9583333333,72.7083333333,1
Lsol,-74.86087,62.24567,CAISN DFO,974784,4225.53613839,-74.875,62.2083333333,1
Lsol,-81.06655,64.02931667,SIMEP,946422,1836.89920236,-81.0416666667,64.0416666667,1
Lsol,-63.73,59.4288,Arctic Amazing Race,1027588,3512.23133573,-63.7083333333,59.4583333333,1
Lsol,-64.062,67.5222,Arctic Amazing Race,900407,2338.00760905,-64.0416666667,67.5416666667,1
Lsol,-86.24611667,64.97395,SIMEP,933795,2493.33547962,-86.2083333333,64.9583333333,1
Lsol,-85.61528333,65.9092,SIMEP,921981,3839.15036524,-85.625,65.875,1
Lsol,-86.17373333,66.25005,SIMEP,916715,4894.11009447,-86.2083333333,66.2916666667,1
Lsol,-84.73383333,65.93401667,SIMEP,920956,2949.28323231,-84.7083333333,65.9583333333,1
Lsol,-82.92186667,64.87203333,SIMEP,934865,1759.82632943,-82.9583333333,64.875,1
Lsol,-80.17605,63.78193333,SIMEP,950057,1926.33852673,-80.2083333333,63.7916666667,1
Lsol,-80.84041667,63.51851667,SIMEP,953823,3101.53905751,-80.875,63.5416666667,1
Lsol,-81.8394,62.94728333,SIMEP,962820,2186.71046658,-81.875,62.9583333333,1
Lsol,-78.76381,70.21439,CAISN DFO,846635,1251.13100417,-78.7916666667,70.2083333333,1
Lsol,-76.634844,72.662252,PICKeR,768868,4169.99580391,-76.625,72.625,1
Lsol,11.63972,79.07333,Hop et al 2016,520775,3549.06157752,11.625,79.0416666667,1
Lsol,-70.1796,60.0373,Filbee-Dexter et al,1014295,1673.67761022,-70.2083333333,60.0416666667,1
Lsol,-69.6745,60.0568,Filbee-Dexter et al,1014301,2529.10087941,-69.7083333333,60.0416666667,1
